Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Algeria,27939,12,19,15591,3493,2719,13.47,43.3,43.23,-2.2,238174,7850,30700,4000,195624,528,25,15,60,555,1468,6441,1370,17850,2820,6,508,X,125,1183,19076,1.27,92,2,375,1,"3,100",250,,,,,,
Angola,11072,9,21,3569,1132,X,X,X,X,X,124670,3500,29000,51900,40270,16618,14,10,76,75,2687,3918,3280,255,1570,820,6,X,X,26,56054,4.95,276,7,909,13,"5,000","1,260",,,,,,
Benin,5409,48,109,1691,585,X,35.78,12.86,51.36,3.3,11062,1880,442,3400,5340,4770,23,10,67,10,1360,2321,1223,940,1198,555,7,X,X,7,48223,0,188,0,423,0,"2,000",X,,,,,,
Botswana,1487,3,5,418,X,X,5.67,47.28,47.04,3,56673,420,25600,26500,4153,9886,32,20,48,2,287,473,2800,344,2475,17,193,X,X,X,13197,0,164,0,550,0,X,17,,,,,,
Burkina Faso,10319,38,79,2809,X,514,X,X,X,0.4,27360,3565,6000,13800,3995,2713,19,0,81,20,4199,5020,4261,5686,7400,551,468,X,12,8,84547,0,147,0,453,0,"1,100",X,,,,,,
Burundi,6393,230,485,480,X,569,51.88,21.11,27.01,-1.2,2568,1360,915,85,208,563,36,0,64,14,2752,3032,380,350,850,80,0,X,X,3,43522,0.41,107,0,596,0,"2,500",X,,,,,,
Cameroon,13233,28,61,5938,854,1029,28.61,24.85,46.54,-4.9,46540,7040,2000,35900,1600,20252,46,19,35,21,2754,4717,4867,3770,3767,1380,51,X,X,36,114320,9.53,297,13,874,8,"8,000",156,,,,,,
Central African Rep,3315,5,10,1301,X,514,49.88,14.14,35.99,-2.5,62298,2020,3000,46700,10578,42534,21,5,74,X,877,1475,2800,152,1340,480,0,X,X,3,33751,0.28,209,2,662,0,"3,600",100,,,,,,
Chad,6361,5,10,1362,X,408,43.61,21.57,34.82,-2.9,125920,3256,45000,32400,45264,6760,16,2,82,14,1458,2041,4621,2152,3178,17,467,X,593,1,35462,0,134,1,532,0,"1,600",X,,,,,,
Congo,2590,8,17,1523,217,2240,11.43,35.18,53.39,-2.1,34150,170,10000,21100,2880,321236,62,27,11,1,533,908,68,111,305,56,0,X,X,24,21852,1.54,200,2,569,0,"4,350","1,200",,,,,,
Cote d'Ivoire,14253,44,114,6211,1495,1104,37.42,24.06,38.52,-1.1,31800,3710,13000,7080,8010,5451,22,11,67,68,2616,4964,1232,1251,976,404,0,X,X,109,102843,3.95,230,1,694,0,"3,517",62,,,,,,
Dem. Republic of Congo (Zaire),43901,19,45,12766,102,X,X,X,X,X,226705,7900,15000,173800,30005,23211,61,16,23,10,9312,14510,1696,1012,4317,1185,0,X,X,73,365076,21.68,415,28,"1,096",22,"11,000","1,100",,,,,,
Djibouti,577,25,45,478,211,X,2.85,21.2,75.95,X,2318,X,X,6,X,X,X,X,X,X,X,X,190,470,507,X,8,X,62,18,0,0,X,X,X,X,X,X,,,,,,
Egypt,62931,63,97,28170,4246,1869,17.87,22.38,59.74,0.5,99545,2800,4950,31,91764,923,6,9,85,3246,6119,15674,3070,3382,3210,27,1661,3200,133,1226,45365,30.67,98,7,439,0,"2,066",70,,,,,,
Equatorial Guinea,400,14,28,169,181,X,47.2,25.84,26.96,7.3,2805,230,104,1300,1171,75000,81,13,6,X,79,152,5,36,8,5,0,X,X,2,4367,0.01,184,3,322,3,"3,000",66,,,,,,
Eritrea,3531,30,60,607,X,X,13.15,20.67,66.18,X,10100,1280,4800,2000,2020,2492,X,X,X,28,X,X,1550,1510,1400,X,0,X,69,X,0,0,112,0,537,0,X,X,,,,,,
Ethiopia,55053,50,115,7371,760,X,60.45,10.3,29.25,7.7,110100,13930,44750,25000,26420,1998,11,3,86,0,16250,22320,29450,5000,16700,20,630,X,1000,45,414055,4.09,255,31,813,28,"6,500","1,000",,,,,,
Gabon,1320,5,10,660,155,3622,8.24,44.93,46.83,2.5,25767,460,4700,19900,707,124242,72,22,6,4,355,546,38,170,83,165,0,X,X,32,26415,2.56,190,2,629,0,"6,500",X,,,,,,
Gambia,1118,99,186,286,109,X,27.53,14.63,57.84,1.5,1000,180,90,280,450,7156,7,2,91,15,332,414,414,121,150,11,46,X,X,3,8939,0,108,0,504,0,966,X,,,,,,
Ghana,17453,73,159,6333,1336,956,47.55,16.08,36.37,4.8,22754,4320,5000,7900,5534,3048,35,13,52,6,2865,5961,1680,3288,3337,595,15,X,X,67,151523,22.01,222,1,725,1,"3,600",43,,,,,,
Guinea,6700,27,61,1981,696,740,23.92,31.13,44.94,4.5,24572,730,5500,14460,3882,33731,10,3,87,93,1903,2650,1658,435,460,33,3,X,X,15,35275,0.68,190,1,552,0,"3,000",88,,,,,,
Guinea-Bissau,1073,30,55,238,174,634,44.79,18.98,36.22,2.9,2812,340,1080,1070,322,25163,60,4,36,17,361,467,494,263,276,312,7,X,X,3,4124,0,108,0,319,0,"1,000",12,,,,,,
Kenya,28261,49,109,7817,489,914,28.92,17.56,53.52,1,56914,4520,21300,16800,14294,1069,20,4,76,66,8252,10908,11000,5500,7438,107,2,X,815,90,344388,10.77,359,21,"1,068",6,"6,000",265,,,,,,
Lesotho,2050,68,137,473,X,952,10.08,47.19,42.74,6.2,3035,320,2000,X,715,2551,22,22,56,3,682,884,663,1691,1010,78,292,X,X,X,6486,0,33,0,281,0,"1,576",2,,,,,,
Liberia,3039,27,65,1366,465,X,X,X,X,X,9675,375,5700,1700,1900,76341,27,13,60,2,702,1025,36,210,220,120,0,X,X,5,48492,0.63,193,0,581,1,"2,200",103,,,,,,
Libya,5407,3,7,4649,1496,X,X,X,X,X,175954,2170,13300,840,159644,111,11,2,87,470,162,1252,50,3500,600,X,70,X,120,457,5234,0,76,5,323,0,"1,800",134,,,,,,
Madagascar,14763,25,59,4003,570,608,33.95,13.78,52.26,1.9,58154,3105,24000,23200,7849,22827,1,0,99,1087,4169,5556,10288,740,1300,1558,0,X,X,15,75959,1.25,105,77,253,103,"9,000","6,500",,,,,,
Malawi,11129,94,189,1505,X,496,39.2,18.12,42.68,8.8,9408,1700,1840,3700,2168,1678,10,3,86,28,3084,4267,980,196,890,245,2,X,X,11,132511,2.8,195,0,645,0,"3,600",49,,,,,,
Mali,10795,9,20,2909,X,X,42.39,15.36,42.25,7.7,122019,2503,30000,6900,82616,6207,2,1,97,1,2524,3187,5542,5173,7380,63,712,X,260,7,53504,0.76,137,0,622,0,"1,741",11,,,,,,
Mauritania,2274,2,4,1224,238,837,27.65,30.16,42.19,5,102522,208,39250,4410,58654,5013,6,2,92,49,445,705,1011,4800,3100,X,173,X,1000,39,79,0.09,61,1,541,0,"1,100",X,,,,,,
Morocco,27028,61,91,13071,5543,2173,14.3,32.36,53.34,0.2,44630,9920,20900,8970,4840,1110,5,3,92,1258,2868,8441,2431,15594,4431,10,1555,X,36,297,13725,1.59,105,4,416,0,"3,600",625,,,,,,
Mozambique,16004,20,44,5481,1109,711,33.15,12.01,54.83,19.1,78409,3180,44000,14000,17229,12997,9,2,89,118,6225,7716,1250,119,389,174,20,X,X,14,147370,0.18,179,1,678,0,"5,500",219,,,,,,
Namibia,1540,2,4,576,76,2774,9.84,26.9,63.27,0.3,82329,662,38000,18000,25667,29545,29,3,68,6,154,472,2036,2620,1639,18,137,X,X,X,0,0,154,3,609,1,"3,128",X,,,,,,
Niger,9151,7,18,1558,X,X,38.52,17.89,43.58,1.4,126670,3605,8915,2500,111650,3552,16,2,82,66,3645,4241,1986,3700,5900,39,532,X,370,15,46886,0,131,0,482,0,"1,170",X,,,,,,
Nigeria,111721,121,258,43884,4383,978,33.52,42.63,23.86,2.9,91077,32385,40000,11300,7392,2506,31,15,54,957,28219,44279,16717,14455,25497,6926,1237,X,18,705,1009506,11.52,274,6,862,2,"4,614",205,,,,,,
Reunion,653,260,359,442,279,X,X,X,X,X,250,48,12,88,102,X,X,X,X,6,25,248,25,2,32,86,0,X,X,23,5167,1.79,X,X,X,X,X,X,,,,,,
Rwanda,7952,302,600,483,X,762,40.54,21.47,38,3.2,2467,1170,450,550,297,792,5,2,94,4,3348,3690,610,400,1100,130,0,X,X,7,52771,0.83,151,0,666,0,"2,288",26,,,,,,
Senegal,8312,42,86,3512,1378,X,19.51,19.13,61.36,-2,19253,2350,3100,10450,3353,4740,5,3,92,71,2613,3362,2800,4600,3200,329,879,X,16,38,49439,0,155,0,610,0,"2,062",26,,,,,,
Sierra Leone,4509,63,121,1632,453,734,X,X,X,0.7,7162,540,2200,2040,2382,35485,7,4,89,29,910,1518,362,302,168,51,0,X,X,6,29662,0,147,0,622,0,"2,090",74,,,,,,
Somalia,9250,15,33,2382,1186,X,X,X,X,X,62734,1020,43000,16000,2714,1459,3,0,97,180,2539,3714,5000,13000,12000,9,46,X,6000,X,71411,0,171,11,649,10,"3,000",500,,,,,,
South Africa,41465,34,58,21073,4272,3068,4.56,39.45,55.99,1.1,122104,13179,81378,8200,19347,1206,17,11,72,1270,1886,14716,12584,29134,6402,1511,454,X,X,3578,131424,2.97,247,27,790,7,"23,000",X,,,,,,
Sudan,28098,11,23,6915,356,X,X,X,X,X,237600,12975,110000,44240,70385,5481,4,1,94,1946,5066,8943,21751,22870,16449,X,699,X,2856,48,220068,3.38,267,11,937,0,"3,132",50,,,,,,
Swaziland,855,49,95,267,X,X,11.76,38.7,49.54,2,1720,191,1070,120,339,5275,2,2,96,67,217,340,620,27,434,32,13,X,X,X,18487,0,47,0,485,0,"2,636",4,,,,,,
Tanzania,29685,31,67,7230,1750,X,55.98,14.45,29.57,X,88359,3500,35000,33500,16359,2998,9,2,89,150,10688,13495,13376,3955,9682,335,178,X,X,30,329752,2.25,322,14,"1,005",19,"10,000","1,122",,,,,,
Togo,4138,73,165,1276,324,530,48.56,17.98,33.47,-12.7,5439,2430,200,900,1909,2900,62,13,25,7,1054,1538,250,1250,2048,934,6,X,X,9,10352,0.02,196,1,558,0,"2,000",X,,,,,,
Tunisia,8896,54,81,5093,2476,3075,17.89,31.34,50.77,2.7,15536,4952,3103,676,6805,443,9,3,89,385,625,2917,660,7100,1420,6,367,X,231,218,30791,0.23,78,1,356,0,"2,150",X,,,,,,
Uganda,21297,90,204,2670,X,547,52.66,12.35,34.99,6.4,19965,6770,1800,5500,5895,3099,32,8,60,9,6611,8361,5100,1980,3350,880,17,X,X,16,136987,2.81,338,6,992,3,"5,000",X,,,,,,
Zambia,9456,13,25,4071,X,X,33.69,36.33,29.98,6.8,74339,5273,30000,28700,10366,12267,16,7,77,46,1972,2918,3300,69,620,295,2,X,X,51,129891,27.88,229,3,736,1,"4,600",211,,,,,,
Zimbabwe,11261,29,50,3619,X,X,15.18,36.39,48.43,2,38685,2876,4856,8800,22153,1776,14,7,79,193,2818,4228,4500,550,2530,280,129,X,X,208,69940,6.09,270,1,648,0,"4,200",95,,,,,,